Product Name,Category,Product Link,Price,Description,Number of Reviews,Total Ratings,Available In,Product Images,Customer Review,Rec Product Names,Rec Product Links,Rec Product Images,Rec Product Prices
After Bath Sandalwood face and body oil,After-Bath Body oils,https://amrtamya.com/products/after-bath-sandalwood-face-and-body-oil,"Regular price
Rs. 1,700.00","An amazing After-Bath hydration with pure Sandalwood fragrance.
This oil is Non-Sticky, yet keeps you naturally hydrated all day long. For those who have a taste for subtle, this natural Sandalwood Aroma is heavenly.Use it for wholesome nourishment and real scent that only gets better with time. ",,,,https://amrtamya.com/cdn/shop/files/94937A98-C6FE-4265-9ABD-FB3D54BE8FE1.png?v=1746191320&width=1946,,,,,
Natural Lavender Water,Natural Distilled Water,https://amrtamya.com/products/natural-lavender-water,"Regular price
Rs. 350.00","Lavender Water is a by-product of Natural distillation of Lavender flowers in manufacturing Lavender Essential Oil. Lavender water is beneficial as :
Rich in Vitamins
Anti-aging
Stress Relief
Helps Dry and Itchy Scalp
Reduces Skin inflammation 
Ingredients - Natural Distilled Lavender Water 
 ",,,"100 ML Glass Spray, 250 ML Glass Bottle, 500 Glass Bottle, 1 Litre Glass Bottle",https://amrtamya.com/cdn/shop/files/Lavender-water_100ml_2025-05-03_09_05_06.jpg?v=1746264342&width=1946,,,,,
Natural Rose Water,Natural Distilled Water,https://amrtamya.com/products/natural-rose-water,"Regular price
Rs. 225.00","Rose water is a by-product of Natural distillation of rose petals in manufacturing world's most beautiful natural fragrance called Rose Attar.

Rose water has Antimicrobial properties, and is used to treat various eye and skin problems. It is also a mood enhancer and anti depressant.

It can be used externally and also can be used in food and drinks.

Rose water may up the bile secretion and therefore helps in better digestion.",,,"100 ML Spray, 250 ML Glass Bottle, 500 ML Glass Bottle, 1 Litre Glass Bottle","https://amrtamya.com/cdn/shop/files/609201A8-3F99-45B4-B6BC-785720332725.jpg?v=1746707965&width=1946, https://amrtamya.com/cdn/shop/files/95D3ADAC-1A72-4F8A-AEC4-4F2C68AB5789.png?v=1746707965&width=1946, https://amrtamya.com/cdn/shop/files/33CFD6DE-B9B1-446A-9E73-9181F19025C7.png?v=1746707965&width=1946",,,,,
Natural Jasmine Water,Natural Distilled Water,https://amrtamya.com/products/natural-jasmine-water,"Regular price
Rs. 350.00","Jasmine water is a by-product of Natural distillation of Jasmine
flowers in manufacturing Jasmine Essential oil. Jasmine water is beneficial as:
Warming
Antimicrobial
Mood Enhancer
Moisturizer
Culinary
Ingredients-100% Natural Distilled Jasmine Water",,,"100 ML Glass Spray, 250 ML Glass Bottle, 500 ML Glass Bottle, 1 Litre Glass Bottle",https://amrtamya.com/cdn/shop/files/Jasmine-Water_100ml-Photoroom.jpg?v=1746191466&width=1946,,,,,
Mosquito Repellent Spray,Wellness Oils,https://amrtamya.com/products/mosquito-repellent-spray,"Regular price
Rs. 850.00",Spray to keep mosquitoes and insects away,,,,https://amrtamya.com/cdn/shop/files/445E379C-E7AA-418B-A97F-4996F49BB89E.jpg?v=1746500668&width=1946,,,,,
Wood Pressed Yellow Mustard - Non Pungent,Edible Oils,https://amrtamya.com/products/yellow-mustard-wood-pressed-non-pungent,"Regular price
Rs. 280.00",,3 reviews,4.33 out of 5,"500 ML, 1 Litres, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/D612CAF1-224C-458B-B2F6-59257AD82629.png?v=1746883706&width=1946, https://amrtamya.com/cdn/shop/files/Yellow-Non-Pungent-Photoroom.jpg?v=1746883706&width=1946, https://amrtamya.com/cdn/shop/files/A23A737D-47F2-4AE4-9902-F485C76DCF79.jpg?v=1746883706&width=1946","05/22/2024
Dittymoni Barooah
Wood Pressed Yellow Mustard - Non Pungent
02/22/2024
Ashish Ranjan
Awesome
Nice taste naturally
09/08/2022
Deleted user
(redacted)
(redacted)",,,,
Wood Pressed Coconut Oil,Edible Oils,https://amrtamya.com/products/edible-coconut-oil-wood-pressed,"Regular price
Rs. 750.00","Edible Coconut Oil - Wood pressed is processed from organic coconuts from Coimbatore Palaghat region where people often term it like ""prasada"" or gods gift for the purity and nutrition it provides.
Can be used for Oil pulling, cooking, body and hair massage.
It is processed at our Gurgaon manufacturing unit with wood pressed machines to give 100% chemical and preservatives free nourishment and experience.",4 reviews,4.75 out of 5,"1 Litres, 100 ML, 250 ML, 500 ML, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/77203CC8-D943-4DFE-89F0-13BCD68E0F22.png?v=1746859676&width=1946, https://amrtamya.com/cdn/shop/files/DAE678B1-B4CB-4D53-9254-6EFCC9985E80.png?v=1746859676&width=1946, https://amrtamya.com/cdn/shop/files/Coconut-oil_1_litre_Front_2025-05-10_05_37_36.jpg?v=1746859676&width=1946, https://amrtamya.com/cdn/shop/files/Coconut-oil_1_litre_Back_2025-05-10_05_39_46.jpg?v=1746859676&width=1946","10/09/2024
Nitesh Kumar Sadh
Very good product
Amrtamya product are very good
04/27/2024
Rupal Vaibhav
Wood pressed Coconut Oil
We have been using cold pressed coconut oil from various companies. This time we decided to try out Amrtamya Wood pressed Coconut Oil. It turned out to of great quality and at a very good price point. I would certainly buy it from now on.
01/19/2024
Shagun Shagun
Wood Pressed Coconut Oil
06/01/2023
H.N.
Best virgin coconut oil ever
I came across this wonderful product and fell in love with it after using it for sometime. I have skin issues and was recommended to use coconut oil. I tried many oils but only this one worked for me. It's the real virgin coconut oil that comes in glass bottle unlike many others that claim to be good but come in cheap plastic bottles. Only drawback is its availability. The product is not easily available in the market, not even on eCommerce platforms.",,,,
Wood Pressed Black Mustard,Edible Oils,https://amrtamya.com/products/black-mustard,"Regular price
Rs. 410.00","Black Mustard is a pungent and aromatic oil, widely grown and used in North India. It has a near ideal Omega3: Omega6, which makes it a good choice for regular use. Use it for delicious dry Indian vegetables.
It has a high smoke point of 260 degrees centigrade. Rich in MUFA and PUFA, hence it is good for HDL.
Mindful use of mustard oil helps to reduce risk of cardiovascular diseases. Mustard has anti microbial, anti fungal properties. Regular massage with mustard oil can be extremely beneficial for vata imbalance thereby reducing body pains, regulating body temperature and maintaining a healthy nervous system.
Wood Pressed Black Mustard has a long shelf life, which is why it is used in Pickles. Have you tried pickles in cold pressed black mustard?",1 review,5.00 out of 5,"1 Litre, 500 ML, 5 Litres TIN, 15 Litres TIN","https://amrtamya.com/cdn/shop/files/2FB62537-52C7-4E94-9325-543165D25E78.png?v=1746951255&width=1946, https://amrtamya.com/cdn/shop/files/Black-Mustard_1_litre_back.jpg?v=1746951255&width=1946","06/03/2024
Nirupam Dutta
Wood Pressed Black Mustard",,,,
Wood Pressed Groundnut/Peanut Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-groundnut-peanut-oil,"Regular price
Rs. 250.00","Peanut Oil has a nutty aroma, which enhances taste. Rich in MUFA and PUFA, this is a good choice for high heat cooking. It is a rich source of vitamin E, which makes it a good antioxidant.  
To enjoy the taste and aroma of this oil, you can try cooking central India cuisine like ""Poha"", Sabudana Khichdi and Ajwain Parantha.",3 reviews,5.00 out of 5,"500 ML, 1 Litres, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/EE952514-4AB6-4CBA-B015-0660FCEDF9E3.png?v=1746859933&width=1946, https://amrtamya.com/cdn/shop/files/Peanut-1_litre-Photoroom.jpg?v=1746859933&width=1946","12/19/2024
Ashok Bhargava
We have been taking it for almost a year. It has had positive effect on our lipid profile.
12/09/2024
Payal Joshi
Wood Pressed Groundnut/Peanut Oil
04/15/2024
Rashi Fotedar
Wood Pressed Groundnut/Peanut Oil",,,,
Wood Pressed White Sesame Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-white-sesame-oil,"Regular price
Rs. 150.00","Wood Pressed White Sesame is often termed as ""King of Oils"" in Ayurveda. Infact, Hindi word for Oil - ""Tel"" comes from ""Til"".
It is Tridoshic in nature meaning it helps balance Vata, Pitta and Kapha doshas.
Sesame Oil is highly lubricating, and makes a good choice for dry South-Asian Cooking. It is also a good salad dressing oil.
   ",1 review,5.00 out of 5,"100 ML, 250 ML, 500 ML, 1 Litres, 5 Liters, 15 Litres","https://amrtamya.com/cdn/shop/files/C8A08B6F-E65C-4158-9301-C169CEC90624.png?v=1746883670&width=1946, https://amrtamya.com/cdn/shop/files/White-Sesame_1_Litre-Photoroom.jpg?v=1746883670&width=1946","01/25/2024
Dittymoni Barooah
Wood Pressed White Sesame Oil",,,,
